iter	Passed	Remaining
1064	21437	79206
1065	21456	79182
1066	21474	79154
1067	21491	79122
1068	21509	79094
1069	21527	79067
1070	21545	79040
1071	21563	79012
1072	21580	78980
1073	21598	78953
1074	21614	78917
1075	21632	78889
1076	21651	78864
1077	21670	78841
1078	21688	78813
1079	21709	78797
1080	21727	78771
1081	21748	78753
1082	21765	78722
1083	21785	78699
1084	21806	78683
1085	21825	78660
1086	21844	78636
1087	21865	78617
1088	21884	78594
1089	21902	78566
1090	21921	78543
1091	21939	78515
1092	21958	78493
1093	21976	78465
1094	21997	78446
1095	22014	78415
1096	22029	78379
1097	22049	78357
1098	22069	78336
1099	22087	78310
1100	22105	78282
1101	22124	78259
1102	22143	78234
1103	22162	78211
1104	22179	78180
1105	22197	78153
1106	22215	78126
1107	22232	78094
1108	22247	78055
1109	22265	78028
1110	22281	77994
1111	22297	77959
1112	22315	77933
1113	22332	77904
1114	22351	77878
1115	22369	77851
1116	22387	77824
1117	22406	77802
1118	22425	77777
1119	22441	77743
1120	22460	77720
1121	22479	77695
1122	22497	77670
1123	22515	77643
1124	22530	77605
1125	22549	77581
1126	22567	77553
1127	22585	77527
1128	22604	77504
1129	22624	77483
1130	22643	77458
1131	22662	77437
1132	22681	77412
1133	22702	77396
1134	22720	77370
1135	22740	77348
1136	22761	77333
1137	22779	77305
1138	22795	77270
1139	22812	77243
1140	22831	77218
1141	22848	77189
1142	22862	77148
1143	22881	77123
1144	22899	77097
1145	22917	77070
1146	22934	77040
1147	22952	77014
1148	22969	76984
1149	22988	76961
1150	23005	76931
1151	23023	76903
1152	23041	76877
1153	23059	76850
1154	23075	76818
1155	23096	76801
1156	23117	76784
1157	23136	76762
1158	23154	76734
1159	23173	76712
1160	23191	76686
1161	23210	76661
1162	23229	76640
1163	23246	76610
1164	23265	76585
1165	23279	76545
1166	23298	76522
1167	23317	76499
1168	23334	76470
1169	23352	76444
1170	23373	76426
1171	23389	76393
1172	23408	76372
1173	23426	76347
1174	23441	76310
1175	23459	76281
1176	23476	76253
1177	23494	76227
1178	23513	76204
1179	23530	76175
1180	23548	76147
1181	23567	76126
1182	23585	76099
1183	23605	76078
1184	23623	76054
1185	23642	76029
1186	23660	76004
1187	23679	75982
1188	23699	75961
1189	23717	75937
1190	23735	75910
1191	23753	75883
1192	23770	75853
1193	23787	75823
1194	23805	75799
1195	23822	75769
1196	23839	75739
1197	23857	75714
1198	23877	75695
1199	23895	75670
1200	23912	75640
1201	23928	75608
1202	23946	75581
1203	23963	75552
1204	23978	75517
1205	23998	75497
1206	24016	75473
1207	24034	75446
1208	24052	75419
1209	24072	75399
1210	24089	75371
1211	24105	75340
1212	24121	75308
1213	24137	75274
1214	24151	75237
1215	24172	75221
1216	24189	75192
1217	24207	75167
1218	24222	75132
1219	24242	75112
1220	24261	75090
1221	24274	75049
1222	24290	75017
1223	24310	74997
1224	24324	74959
1225	24339	74925
1226	24357	74900
1227	24374	74871
1228	24391	74840
1229	24407	74809
1230	24426	74788
1231	24443	74758
1232	24460	74731
1233	24479	74706
1234	24497	74683
1235	24514	74652
1236	24529	74618
1237	24548	74596
1238	24566	74571
1239	24585	74549
1240	24605	74530
1241	24625	74510
1242	24644	74488
1243	24664	74468
1244	24680	74438
1245	24699	74414
1246	24715	74385
1247	24732	74355
1248	24747	74322
1249	24765	74296
